date,value
2002-09-02,14295
2002-09-03,15034
2002-09-04,14965
2002-09-05,14877
2002-09-06,14919
2002-09-07,12943
2002-09-08,14119
2002-09-09,14768
2002-09-10,13618
2002-09-11,12691
2002-09-12,14491
2002-09-13,14777
2002-09-14,12816
2002-09-15,14070
2002-09-16,14804
2002-09-17,14717
2002-09-18,14795
2002-09-19,14627
2002-09-20,14736
2002-09-21,12874
2002-09-22,14059
2002-09-23,14730
2002-09-24,14669
2002-09-25,14588
2002-09-26,14682
2002-09-27,14796
2002-09-28,12814
2002-09-29,14073
2002-09-30,14753
2002-10-01,14634
2002-10-02,14665
2002-10-03,14458
2002-10-04,14567
2002-10-05,12726
2002-10-06,13971
2002-10-07,14581
2002-10-08,14580
2002-10-09,14596
2002-10-10,14708
2002-10-11,14691
2002-10-12,12718
2002-10-13,14004
2002-10-14,14727
2002-10-15,14592
2002-10-16,14461
2002-10-17,14639
2002-10-18,14604
2002-10-19,12666
2002-10-20,14004
2002-10-21,14585
2002-10-22,14583
2002-10-23,14601
2002-10-24,14620
2002-10-25,14648
2002-10-26,12570
2002-10-27,13787
2002-10-28,14572
2002-10-29,14464
2002-10-30,14549
2002-10-31,14470
2002-11-01,14425
2002-11-02,12423
2002-11-03,13650
2002-11-04,14467
2002-11-05,14147
2002-11-06,14301
2002-11-07,14447
2002-11-08,14471
2002-11-09,12465
2002-11-10,13551
2002-11-11,14387
2002-11-12,14276
2002-11-13,14405
2002-11-14,14449
2002-11-15,14492
2002-11-16,12397
2002-11-17,13629
2002-11-18,14453
2002-11-19,14348
2002-11-20,14394
2002-11-21,14399
2002-11-22,14494
2002-11-23,12448
2002-11-24,13660
2002-11-25,14492
2002-11-26,14437
2002-11-27,14518
2002-11-28,10236
2002-11-29,10756
2002-11-30,12332
2002-12-01,13895
2002-12-02,14158
2002-12-03,13991
2002-12-04,13832
2002-12-05,12813
2002-12-06,14138
2002-12-07,12011
2002-12-08,13444
2002-12-09,14271
2002-12-10,13955
2002-12-11,13926
2002-12-12,14260
2002-12-13,14248
2002-12-14,12100
2002-12-15,13470
2002-12-16,14249
2002-12-17,14104
2002-12-18,14161
2002-12-19,14494
2002-12-20,14565
2002-12-21,12464
2002-12-22,13664
2002-12-23,14225
2002-12-24,11654
2002-12-25,11244
2002-12-26,13962
2002-12-27,14390
2002-12-28,12333
2002-12-29,13575
2002-12-30,13876
2002-12-31,12297
2003-01-01,16012
2003-01-02,18279
2003-01-03,18488
2003-01-04,15919
2003-01-05,17404
2003-01-06,18273
2003-01-07,17959
2003-01-08,17934
2003-01-09,18001
2003-01-10,18274
2003-01-11,15426
2003-01-12,16984
2003-01-13,18249
2003-01-14,17862
2003-01-15,17962
2003-01-16,18112
2003-01-17,18206
2003-01-18,15079
2003-01-19,16964
2003-01-20,18243
2003-01-21,17973
2003-01-22,17835
2003-01-23,18090
2003-01-24,18259
2003-01-25,15074
2003-01-26,17004
2003-01-27,18258
2003-01-28,17670
2003-01-29,17759
2003-01-30,18140
2003-01-31,18076
2003-02-01,14974
2003-02-02,16821
2003-02-03,17750
2003-02-04,17675
2003-02-05,17927
2003-02-06,18060
2003-02-07,17417
2003-02-08,15076
2003-02-09,17044
2003-02-10,17929
2003-02-11,17818
2003-02-12,17966
2003-02-13,18502
2003-02-14,18615
2003-02-15,15173
2003-02-16,14617
2003-02-17,13771
2003-02-18,16580
2003-02-19,18317
2003-02-20,18517
2003-02-21,18383
2003-02-22,14970
2003-02-23,16815
2003-02-24,18015
2003-02-25,17046
2003-02-26,17612
2003-02-27,18339
2003-02-28,18476
2003-03-01,15387
2003-03-02,17299
2003-03-03,18366
2003-03-04,17703
2003-03-05,18187
2003-03-06,17967
2003-03-07,18676
2003-03-08,15474
2003-03-09,17397
2003-03-10,18618
2003-03-11,18255
2003-03-12,18557
2003-03-13,18252
2003-03-14,18695
2003-03-15,15615
2003-03-16,17385
2003-03-17,18499
2003-03-18,17697
2003-03-19,17718
2003-03-20,18023
2003-03-21,18617
2003-03-22,15652
2003-03-23,17490
2003-03-24,18680
2003-03-25,18457
2003-03-26,18564
2003-03-27,18537
2003-03-28,18601
2003-03-29,15574
2003-03-30,17286
2003-03-31,18560
2003-04-01,18249
2003-04-02,18120
2003-04-03,18340
2003-04-04,17754
2003-04-05,15075
2003-04-06,16570
2003-04-07,16944
2003-04-08,17315
2003-04-09,17524
2003-04-10,18050
2003-04-11,18122
2003-04-12,15180
2003-04-13,16977
2003-04-14,18065
2003-04-15,17599
2003-04-16,17780
2003-04-17,18126
2003-04-18,18119
2003-04-19,15117
2003-04-20,16953
2003-04-21,18112
2003-04-22,17757
2003-04-23,17581
2003-04-24,18107
2003-04-25,18180
2003-04-26,15199
2003-04-27,17058
2003-04-28,18092
2003-04-29,17605
2003-04-30,17299
2003-05-01,17697
2003-05-02,17854
2003-05-03,14867
2003-05-04,16704
2003-05-05,17739
2003-05-06,17302
2003-05-07,17531
2003-05-08,17865
2003-05-09,17861
2003-05-10,14801
2003-05-11,16458
2003-05-12,17826
2003-05-13,17532
2003-05-14,17678
2003-05-15,17897
2003-05-16,17917
2003-05-17,14952
2003-05-18,16702
2003-05-19,17857
2003-05-20,17639
2003-05-21,17798
2003-05-22,17945
2003-05-23,17974
2003-05-24,14632
2003-05-25,15146
2003-05-26,16974
2003-05-27,17871
2003-05-28,17658
2003-05-29,17882
2003-05-30,17950
2003-05-31,14960
2003-06-01,16869
2003-06-02,18057
2003-06-03,17866
2003-06-04,17876
2003-06-05,17988
2003-06-06,18139
2003-06-07,15308
2003-06-08,17071
2003-06-09,18149
2003-06-10,17969
2003-06-11,18041
2003-06-12,17961
2003-06-13,18125
2003-06-14,15915
2003-06-15,17576
2003-06-16,18369
2003-06-17,18263
2003-06-18,18257
2003-06-19,18441
2003-06-20,18475
2003-06-21,16025
2003-06-22,17584
2003-06-23,18483
2003-06-24,18277
2003-06-25,18325
2003-06-26,18453
2003-06-27,18477
2003-06-28,16007
2003-06-29,17611
2003-06-30,18378
2003-07-01,18194
2003-07-02,18350
2003-07-03,18518
2003-07-04,14414
2003-07-05,15189
2003-07-06,17334
2003-07-07,18127
2003-07-08,17723
2003-07-09,17976
2003-07-10,18274
2003-07-11,18424
2003-07-12,16115
2003-07-13,17647
2003-07-14,18491
2003-07-15,18269
2003-07-16,18310
2003-07-17,18380
2003-07-18,18441
2003-07-19,16098
2003-07-20,17720
2003-07-21,18292
2003-07-22,17523
2003-07-23,18263
2003-07-24,18554
2003-07-25,18612
2003-07-26,16161
2003-07-27,17565
2003-07-28,18565
2003-07-29,18334
2003-07-30,18430
2003-07-31,18440
2003-08-01,18036
2003-08-02,15882
2003-08-03,17091
2003-08-04,18080
2003-08-05,17994
2003-08-06,18409
2003-08-07,18549
2003-08-08,18578
2003-08-09,16116
2003-08-10,17670
2003-08-11,18394
2003-08-12,18227
2003-08-13,18491
2003-08-14,17878
2003-08-15,17585
2003-08-16,15888
2003-08-17,17664
2003-08-18,18560
2003-08-19,18205
2003-08-20,18263
2003-08-21,18547
2003-08-22,18464
2003-08-23,16109
2003-08-24,17711
2003-08-25,18547
2003-08-26,17749
2003-08-27,18126
2003-08-28,18480
2003-08-29,18409
2003-08-30,15311
2003-08-31,14862
2003-09-01,17362
2003-09-02,18186
2003-09-03,17771
2003-09-04,17995
2003-09-05,18209
2003-09-06,15354
2003-09-07,17089
2003-09-08,18099
2003-09-09,17698
2003-09-10,17728
2003-09-11,16536
2003-09-12,18117
2003-09-13,15186
2003-09-14,17085
2003-09-15,17827
2003-09-16,17659
2003-09-17,17896
2003-09-18,16542
2003-09-19,17422
2003-09-20,15172
2003-09-21,17094
2003-09-22,18138
2003-09-23,17478
2003-09-24,17836
2003-09-25,18195
2003-09-26,18173
